ID Geography,Geography,Foreign-Born Citizens (2015),Foreign-Born Citizens (2016),Foreign-Born Citizens (2017),Foreign-Born Citizens (2018),Foreign-Born Citizens (2019),Foreign-Born Citizens (2020),Foreign-Born Citizens (2021),Foreign-Born Citizens (2022),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019),Population (2020),Population (2021),Population (2022)
"50000US4005","Congressional District 5, OK",80831,80921,81060,81965,80561,80202,80250,51634,763146,773836,784462,794991,803924,811988,817284,821362,818375,793633
"50000US4101","Congressional District 1, OR",112380,114156,115838,119814,122395,126265,126215,106574,778240,787501,797650,807470,817756,832139,842952,851961,856074,703447
"50000US4102","Congressional District 2, OR",47197,47933,49152,50567,50731,49258,52215,40255,770897,775034,781254,788709,794957,805737,817793,828446,843033,705019
"50000US4103","Congressional District 3, OR",108554,108017,111318,111951,111409,110564,108614,93564,778448,787945,799338,811147,820929,830995,837545,843221,844479,701275
"50000US4104","Congressional District 4, OR",41330,41252,41886,43691,42553,42372,42701,39238,768142,770520,773605,779056,785159,794776,803194,813504,818485,705794
"50000US4105","Congressional District 5, OR",79245,79266,80216,79805,80556,81415,82646,48694,772994,779343,787386,795885,806326,818296,828319,839214,845106,707199
"50000US4201","Congressional District 1, PA",93235,95450,98311,69587,74767,74673,77924,79226,704640,705306,707654,718736,723042,709207,709812,709715,728310,763498
"50000US4202","Congressional District 2, PA",58733,59538,61336,129596,132287,133519,134726,142452,711856,715511,719392,712388,716385,734861,737498,741380,741528,762893
"50000US4203","Congressional District 3, PA",16258,16933,17497,67090,67635,67194,69241,73780,703635,701824,700703,697809,695002,722979,722876,721131,736685,756676
"50000US4204","Congressional District 4, PA",33556,34979,37072,71331,70945,74017,74965,66034,708838,711945,714595,717233,720275,724647,726966,730845,750478,764402
"50000US4205","Congressional District 5, PA",22520,22800,23420,83268,86122,89378,91541,92114,705868,706409,706400,705575,702582,714120,716440,717928,728014,763043
"50000US4206","Congressional District 6, PA",50608,51189,53403,73479,73593,73540,76318,78592,711013,715481,719763,722755,726341,725593,728613,731115,748941,766664
"50000US4207","Congressional District 7, PA",51642,53295,54673,69823,71826,73259,77105,76339,708947,712481,716023,717691,718119,722048,726011,730122,742270,766617
"50000US4208","Congressional District 8, PA",59384,61030,63135,48898,48929,50195,54465,60826,707163,707804,708560,708465,709322,695547,694123,694063,711220,764480
"50000US4209","Congressional District 9, PA",11132,10889,11345,20908,21661,21659,22761,18882,703670,702362,701011,698749,694033,705114,705270,705602,706475,765339
"50000US4210","Congressional District 10, PA",22271,22351,22643,47442,49444,50636,53287,51830,706743,705770,704169,701757,699026,727144,731136,736031,754965,766732
"50000US4211","Congressional District 11, PA",32494,33226,33775,32235,31670,33376,35484,36104,705658,706538,707670,706988,707296,728820,732060,735086,744465,765641
"50000US4212","Congressional District 12, PA",19252,20038,20317,20610,21331,20561,19902,42878,705045,705303,704203,702324,699504,701191,699352,696809,688872,763762
"50000US4213","Congressional District 13, PA",121251,125427,128853,15145,15565,15802,15508,15568,712645,719828,721966,723656,727631,698730,697483,695441,696156,765340
"50000US4214","Congressional District 14, PA",37064,37761,38587,11212,11428,11867,11970,11879,705961,705049,704815,702800,701608,691459,687897,685084,690770,763254
"50000US4215","Congressional District 15, PA",54366,54976,56048,11030,10130,10157,10286,21646,710592,713582,716514,719408,722676,685714,680881,677288,677635,765029
"50000US4216","Congressional District 16, PA",51711,52762,55248,20158,18557,18589,18209,19602,709239,713791,717967,722007,725929,692426,687946,684242,688843,765331
"50000US4217","Congressional District 17, PA",40185,40529,41050,32559,33364,34346,35544,36590,702324,701861,700379,698821,696919,711725,711092,709873,733477,760507
"50000US4401","Congressional District 1, RI",88062,89877,91571,91540,92904,95510,99629,97814,527330,527527,528427,529708,532360,532760,533730,532603,551867,545354
"50000US4402","Congressional District 2, RI",55102,55339,55036,55388,54020,56775,59772,63057,524365,525725,525234,524783,523778,523851,523501,525195,540082,548896
"50000US4501","Congressional District 1, SC",44016,43504,44155,44620,47457,49862,49840,41896,682503,697052,712074,731010,748066,766664,785395,804679,802857,734138
"50000US4502","Congressional District 2, SC",32491,32996,35323,35614,35880,37156,37090,38282,667132,673950,681406,689145,697001,707819,714742,724704,717963,735646
"50000US4503","Congressional District 3, SC",22872,23524,23969,24654,26274,26748,26059,27648,664164,665355,668814,672526,677940,684952,693354,698745,700576,731595
"50000US4504","Congressional District 4, SC",52934,52984,54054,55373,57750,58047,61573,62224,669584,678947,689104,697852,708271,718032,727293,739881,752791,737328
